id,label
0,-1
1,-1
2,2
3,10
4,-1
5,10
6,10
7,10
8,-1
9,4
10,-1
11,-1
12,10
13,4
14,6
15,8
16,7
17,10
18,-1
19,5
20,8
21,9
22,5
23,4
24,10
25,10
26,-1
27,-1
28,2
29,-1
30,8
31,0
32,4
33,4
34,-1
35,2
36,3
37,7
38,-1
39,-1
40,10
41,9
42,-1
43,4
44,0
45,-1
46,-1
47,10
48,8
49,4
50,-1
51,-1
52,-1
53,5
54,3
55,-1
56,-1
57,2
58,5
59,1
60,-1
61,-1
62,8
63,4
64,0
65,-1
66,4
67,8
68,-1
69,-1
70,5
71,-1
72,10
73,10
74,7
75,-1
76,5
77,-1
78,-1
79,4
80,10
81,8
82,10
83,-1
84,4
85,10
86,10
87,9
88,-1
89,-1
90,9
91,-1
92,9
93,-1
94,10
95,10
96,-1
97,-1
98,-1
99,0
100,2
101,-1
102,10
103,-1
104,5
105,4
106,4
107,10
108,8
109,-1
110,5
111,4
112,-1
113,-1
114,4
115,0
116,5
117,2
118,-1
119,0
120,4
121,-1
122,-1
123,8
124,-1
125,-1
126,9
127,2
128,10
129,-1
130,-1
131,2
132,3
133,2
134,-1
135,3
136,9
137,3
138,-1
139,0
140,-1
141,-1
142,5
143,3
144,2
145,2
146,-1
147,-1
148,2
149,-1
150,1
151,-1
152,4
153,0
154,6
155,-1
156,-1
157,2
158,-1
159,-1
160,2
161,-1
162,2
163,-1
164,1
165,-1
166,2
167,3
168,8
169,2
170,3
171,-1
172,4
173,9
174,-1
175,5
176,10
177,9
178,10
179,-1
180,7
181,7
182,10
183,-1
184,-1
185,6
186,10
187,2
188,4
189,4
190,10
191,-1
192,2
193,10
194,-1
195,2
196,3
197,7
198,-1
199,8
200,-1
201,4
202,7
203,7
204,-1
205,-1
206,10
207,8
208,2
209,8
210,1
211,2
212,-1
213,5
214,-1
215,8
216,-1
217,7
218,-1
219,-1
220,-1
221,-1
222,9
223,-1
224,-1
225,3
226,-1
227,4
228,7
229,7
230,-1
231,0
232,1
233,4
234,-1
235,8
236,-1
237,-1
238,-1
239,1
240,7
241,4
242,8
243,-1
244,5
245,5
246,-1
247,8
248,5
249,-1
250,1
251,-1
252,7
253,4
254,8
255,2
256,-1
257,5
258,5
259,8
260,-1
261,-1
262,-1
263,-1
264,-1
265,4
266,5
267,-1
268,-1
269,4
270,0
271,2
272,-1
273,0
274,1
275,5
276,-1
277,2
278,-1
279,3
280,-1
281,2
282,5
283,7
284,10
285,-1
286,-1
287,5
288,4
289,10
290,5
291,10
292,-1
293,-1
294,5
295,-1
296,-1
297,6
298,5
299,0
300,2
301,5
302,2
303,-1
304,5
305,-1
306,-1
307,2
308,-1
309,0
310,-1
311,10
312,-1
313,-1
314,-1
315,-1
316,0
317,-1
318,-1
319,1
320,7
321,-1
322,-1
323,-1
324,-1
325,-1
326,-1
327,9
328,-1
329,2
330,1
331,-1
332,8
333,0
334,-1
335,-1
336,3
337,10
338,-1
339,2
340,-1
341,-1
342,-1
343,2
344,4
345,-1
346,-1
347,8
348,-1
349,-1
350,-1
351,-1
352,0
353,-1
354,-1
355,6
356,5
357,-1
358,-1
359,-1
360,3
361,-1
362,-1
363,-1
364,-1
365,1
366,-1
367,9
368,2
369,2
370,2
371,-1
372,-1
373,-1
374,2
375,2
376,-1
377,-1
378,2
379,-1
380,-1
381,-1
382,-1
383,1
384,0
385,2
386,6
387,2
388,-1
389,-1
390,2
391,4
392,0
393,7
394,5
395,7
396,4
397,-1
398,-1
399,1
400,-1
401,4
402,8
403,-1
404,5
405,-1
406,3
407,4
408,-1
409,1
410,2
411,0
412,-1
413,10
414,-1
415,0
416,-1
417,-1
418,-1
419,-1
420,7
421,0
422,-1
423,-1
424,-1
425,0
426,8
427,-1
428,4
429,-1
430,8
431,-1
432,10
433,4
434,7
435,-1
436,-1
437,0
438,-1
439,-1
440,-1
441,-1
442,9
443,7
444,4
445,-1
446,5
447,4
448,6
449,-1
450,10
451,-1
452,-1
453,5
454,8
455,4
456,5
457,-1
458,3
459,2
460,4
461,-1
462,4
463,-1
464,-1
465,2
466,4
467,1
468,8
469,-1
470,6
471,4
472,10
473,-1
474,-1
475,-1
476,8
477,9
478,-1
479,8
480,-1
481,1
482,-1
483,-1
484,-1
485,8
486,-1
487,3
488,-1
489,-1
490,2
491,-1
492,0
493,7
494,0
495,-1
496,1
497,0
498,-1
499,0
500,-1
501,-1
502,5
503,4
504,-1
505,-1
506,-1
507,-1
508,8
509,3
510,1
511,9
512,-1
513,-1
514,5
515,-1
516,4
517,7
518,8
519,1
520,5
521,4
522,-1
523,-1
524,-1
525,7
526,2
527,4
528,10
529,8
530,7
531,9
532,-1
533,-1
534,-1
535,10
536,10
537,3
538,2
539,-1
540,-1
541,-1
542,10
543,-1
544,4
545,-1
546,-1
547,-1
548,4
549,2
550,4
551,10
552,4
553,-1
554,2
555,0
556,2
557,10
558,-1
559,0
560,2
561,5
562,3
563,5
564,3
565,-1
566,-1
567,1
568,-1
569,-1
570,-1
571,1
572,10
573,10
574,-1
575,9
576,10
577,2
578,-1
579,10
580,9
581,-1
582,-1
583,-1
584,3
585,10
586,-1
587,8
588,4
589,-1
590,5
591,8
592,-1
593,-1
594,5
595,-1
596,2
597,-1
598,-1
599,5
600,-1
601,7
602,5
603,-1
604,-1
605,10
606,-1
607,6
608,-1
609,-1
610,-1
611,-1
612,10
613,-1
614,-1
615,1
616,4
617,5
618,10
619,-1
620,8
621,0
622,2
623,4
624,10
625,-1
626,2
627,-1
628,5
629,2
630,-1
631,-1
632,-1
633,2
634,10
635,2
636,-1
637,1
638,1
639,-1
640,-1
641,-1
642,4
643,-1
644,-1
645,-1
646,10
647,8
648,4
649,-1
650,10
651,-1
652,-1
653,-1
654,3
655,-1
656,8
657,-1
658,-1
659,-1
660,-1
661,5
662,-1
663,-1
664,5
665,1
666,-1
667,0
668,1
669,-1
670,10
671,5
672,-1
673,5
674,-1
675,10
676,-1
677,-1
678,10
679,-1
680,-1
681,5
682,10
683,1
684,-1
685,-1
686,-1
687,1
688,-1
689,10
690,2
691,0
692,6
693,10
694,-1
695,-1
696,-1
697,-1
698,-1
699,10
700,-1
701,-1
702,1
703,9
704,4
705,8
706,-1
707,-1
708,0
709,-1
710,-1
711,-1
712,-1
713,4
714,10
715,10
716,-1
717,4
718,9
719,-1
720,-1
721,10
722,5
723,5
724,7
725,0
726,-1
727,-1
728,10
729,-1
730,-1
731,5
732,0
